Term,DwC,Accepted,Synonym,Misapplied,Unplaced
[unknown],unknown,false,true,false,true
[unplaced name?],unplaced,false,true,false,true
[unplaced relationship?],unplaced,false,true,false,true
accepted,accepted,true,false,false,false
ApcConcept,accepted,true,false,false,false
ApcExcluded,excluded,true,false,false,true
available synonym,synonym,false,true,false,false
excluded,excluded,true,false,false,true
occurrence doubtful,occurrence doubtful,false,false,true,false
status uncertain,status uncertain,false,false,true,true
autonym,accepted,true,false,false,false
basionym,synonym,false,true,false,false
comb. et stat. nov.,accepted,true,false,false,false
comb. nov.,accepted,true,false,false,false
doubtful misapplied,misapplied,false,false,true,false
doubtful nomenclatural synonym,homotypicSynonym,false,true,false,false
doubtful pro parte misapplied,misapplied,false,false,true,false
doubtful pro parte taxonomic synonym,proParteSynonym,false,true,false,false
doubtful synonym,synonym,false,true,false,false
doubtful taxonomic synonym,heterotypicSynonym,false,true,false,false
excluded name,excluded,true,false,false,true
invalid publication,misapplied,false,false,true,false
literature synonym,miscellaneousLiterature,false,true,false,false
isonym,synonym,false,true,false,false
misapplied,misapplied,false,false,true,false
nom. et stat. nov.,accepted,true,false,false,false
nom. nov.,accepted,true,false,false,false
nomenclatural synonym,homotypicSynonym,false,true,false,false
orthographic variant,synonym,false,true,false,false
primary reference,accepted,true,false,false,false
pro parte misapplied,misapplied,false,false,true,false
pro parte nomenclatural synonym,proParteSynonym,false,true,false,false
pro parte replaced synonym,proParteSynonym,false,true,false,false
pro parte taxonomic synonym,proParteSynonym,false,true,false,false
replaced synonym,synonym,false,true,false,false
secondary reference,accepted,true,false,false,false
sens. lat.,synonym,false,true,false,false
synonym,synonym,false,true,false,false
tax. nov.,accepted,true,false,false,false
taxonomic synonym,heterotypicSynonym,false,true,false,false
trade name,synonym,false,true,false,false
